source_name,region,city,category,ownership,registration_type,annual_visitors,collection_count,exhibition_area_sqm,official_scale_score,data_confidence,source_reference_date,source_sheet,source_row,source_url
부천활박물관,경기,부천시,박물관,공립,1종,16141,481,366.0,46.3,1.0,2025-01-01,박물관,343,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
한국전통음식박물관,인천,남동구,박물관,사립,1종,27000,500,142.0,46.2,1.0,2025-01-01,박물관,247,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
서울대학교병원 의학박물관,서울,종로구,박물관,사립,1종,11027,4130,342.0,46.0,1.0,2025-01-01,박물관,81,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
만해기념관,경기,광주시,박물관,사립,1종,15640,3263,198.0,45.9,1.0,2025-01-01,박물관,387,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
종이나라박물관,서울,중구,박물관,사립,1종,11023,8171,114.0,45.9,1.0,2025-01-01,박물관,98,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
덕포진교육박물관,경기,김포시,박물관,사립,1종,7119,3502,1042.0,45.8,1.0,2025-01-01,박물관,383,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
단국역사관,경기,용인시,박물관,대학,1종,3309,10000,689.0,45.4,1.0,2025-01-01,박물관,445,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
종로구립 고희동미술관,서울,종로구,박물관,공립,2종,27383,337,83.0,45.4,1.0,2025-01-01,박물관,50,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
여주시 미술관 아트뮤지엄 려,경기,여주시,미술관,공립,2종,27365,135,334.6,45.2,1.0,2025-01-01,미술관,144,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
기생충박물관,서울,강서구,박물관,사립,1종,5743,12082,320.0,45.1,1.0,2025-01-01,박물관,59,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
전쟁과여성인권박물관,서울,마포구,박물관,사립,2종,8798,21013,194.5,45.1,1.0,2025-01-01,박물관,96,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
사비나미술관,서울,은평구,미술관,사립,1종,12000,400,1740.0,45.0,1.0,2025-01-01,미술관,32,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
서울시립대학교 박물관,서울,동대문구,박물관,대학,1종,3080,9612,811.0,45.0,1.0,2025-01-01,박물관,137,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
아라리오뮤지엄 인 스페이스,서울,종로구,미술관,사립,1종,22480,113,919.0,44.9,1.0,2025-01-01,미술관,39,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
피규어뮤지엄W,서울,강남구,박물관,사립,2종,18124,2000,339.1,44.9,1.0,2025-01-01,박물관,105,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
동국대학교박물관,서울,중구,박물관,대학,1종,4582,8000,371.0,44.7,1.0,2025-01-01,박물관,131,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
아트센터나비미술관,서울,종로구,미술관,사립,1종,20000,465,432.0,44.7,1.0,2025-01-01,미술관,43,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
경기여자고등학교 경운박물관,서울,강남구,박물관,사립,1종,5000,13187,339.0,44.6,1.0,2025-01-01,박물관,56,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
아주대학교 도구박물관,경기,수원시,박물관,대학,1종,7615,4800,215.0,44.4,1.0,2025-01-01,박물관,449,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
짚풀생활사박물관,서울,종로구,박물관,사립,1종,3335,67292,335.0,44.4,1.0,2025-01-01,박물관,99,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
춘원당한의약박물관,서울,종로구,박물관,사립,1종,6502,7731,355.0,44.4,1.0,2025-01-01,박물관,101,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
국민대학교 명원박물관,서울,성북구,박물관,대학,1종,2460,15292,722.8,44.3,1.0,2025-01-01,박물관,129,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
덕성여자대학교박물관,서울,도봉구,박물관,대학,1종,5200,3400,643.0,44.2,1.0,2025-01-01,박물관,130,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
자하미술관,서울,종로구,미술관,사립,1종,7410,3000,712.0,44.2,1.0,2025-01-01,미술관,46,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
세계민속악기박물관,경기,파주시,박물관,사립,1종,13541,2000,191.76,43.7,1.0,2025-01-01,박물관,397,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
밀알미술관,서울,강남구,미술관,사립,1종,14265,1040,300.0,43.7,1.0,2025-01-01,미술관,31,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
창조자연사박물관,경기,시흥시,박물관,사립,1종,3221,7405,1051.0,43.5,1.0,2025-01-01,박물관,420,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
